GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
99.567,1303.55,945,82.3993,199.906,3029.57,3.48455,133.298,8.00986,10
99,1451,945,67,216,2387,3.4,140,5,10
99,1509,945,69,227,2658,3.4,158,11,10
99,1509,945,69,227,2658,3.4,158,11,10
100,1514,945,73,227,3037,3.4,182,9,10
100,1513,945,76,228,3036,3.4,176,10,10
100,1514,945,75,225,3036,3.4,165,8,10
100,1514,945,75,225,3036,3.4,165,8,10
99,1516,945,76,220,3041,3.4,154,8,10
99,1516,945,76,220,3041,3.4,154,8,10
100,1517,945,77,209,3040,3.4,145,10,10
100,1517,945,77,216,3035,3.4,143,9,10
100,1517,945,77,216,3035,3.4,143,9,10
100,1517,945,78,215,3035,3.4,144,8,10
100,1517,945,78,215,3035,3.4,144,8,10
100,1515,945,79,223,3035,3.4,142,9,10
100,1515,945,79,223,3035,3.4,142,9,10
99,1515,945,81,213,3040,3.4,141,8,10
99,1517,945,81,214,3035,3.4,141,11,10
99,1517,945,81,214,3035,3.4,141,11,10
100,1517,945,80,217,3040,3.4,136,9,10
100,1517,945,80,217,3040,3.4,136,9,10
100,1516,945,83,219,3040,3.4,138,9,10
100,1516,945,83,219,3039,3.4,136,9,10
100,1516,945,83,219,3039,3.4,136,9,10
100,1516,945,82,219,3039,3.4,133,8,10
100,1516,945,82,219,3039,3.4,133,8,10
99,1494,945,83,224,3034,3.4,142,9,10
99,1494,945,83,224,3034,3.4,142,9,10
99,1451,945,83,218,3039,3.4,141,7,10
98,1462,945,83,210,3039,3.4,141,6,10
98,1462,945,83,210,3039,3.4,141,6,10
100,1456,945,84,209,3039,3.4,141,6,10
100,1430,945,82,214,3039,3.4,135,8,10
100,1430,945,82,214,3039,3.4,135,8,10
99,1324,945,82,199,3039,3.4,132,8,10
99,1324,945,82,199,3039,3.4,132,8,10
100,1390,945,82,212,3039,3.4,140,7,10
100,1375,945,84,205,3039,3.4,139,8,10
100,1375,945,84,205,3039,3.4,139,8,10
99,1395,945,82,207,3034,3.4,136,8,10
100,1392,945,82,214,3039,3.4,137,8,10
100,1392,945,82,214,3039,3.4,137,8,10
100,1344,945,83,204,3039,3.4,140,8,10
100,1344,945,83,204,3039,3.4,140,8,10
100,1323,945,82,205,3039,3.4,135,10,10
99,1336,945,82,192,3039,3.5,133,10,10
99,1336,945,82,192,3039,3.5,133,10,10
100,1371,945,83,208,3039,3.5,138,10,10
100,1371,945,83,208,3039,3.5,138,10,10
99,1314,945,84,202,3039,3.5,138,10,10
99,1314,945,84,202,3039,3.5,138,10,10
99,1333,945,84,204,3034,3.5,142,11,10
99,1353,945,84,204,3039,3.5,130,10,10
99,1353,945,84,204,3039,3.5,130,10,10
99,1324,945,82,200,3034,3.5,136,9,10
99,1324,945,82,200,3034,3.5,136,9,10
100,1341,945,84,201,3039,3.5,136,9,10
99,1314,945,84,197,3034,3.5,142,10,10
99,1314,945,84,197,3034,3.5,142,10,10
100,1314,945,84,207,3039,3.5,161,8,10
100,1314,945,84,207,3039,3.5,161,8,10
100,1278,945,84,208,3034,3.5,138,8,10
100,1278,945,84,208,3034,3.5,138,8,10
100,1282,945,82,193,3034,3.5,140,8,10
100,1294,945,82,201,3035,3.5,161,7,10
99,1331,945,82,204,3034,3.5,171,8,10
99,1331,945,82,204,3034,3.5,171,8,10
100,1313,945,84,206,3039,3.5,170,8,10
100,1313,945,84,206,3039,3.5,170,8,10
100,1285,945,85,201,3034,3.5,169,8,10
100,1263,945,82,195,3039,3.5,165,7,10
100,1263,945,82,195,3039,3.5,165,7,10
98,1251,945,84,193,3039,3.5,157,6,10
98,1251,945,84,193,3039,3.5,157,6,10
100,1223,945,84,195,3039,3.5,155,7,10
99,1226,945,82,184,3040,3.5,136,10,10
99,1226,945,82,184,3040,3.5,136,10,10
100,1300,945,84,200,3035,3.5,131,8,10
100,1300,945,84,200,3035,3.5,131,8,10
99,1265,945,82,188,3040,3.5,119,8,10
99,1281,945,84,193,3040,3.5,123,9,10
99,1281,945,84,193,3040,3.5,123,9,10
100,1268,945,84,200,3035,3.5,120,8,10
100,1268,945,84,200,3035,3.5,120,8,10
100,1325,945,82,203,3040,3.5,124,7,10
100,1314,945,82,203,3040,3.5,124,6,10
100,1314,945,82,203,3040,3.5,124,6,10
100,1301,945,82,203,3035,3.5,123,8,10
100,1301,945,82,203,3035,3.5,123,8,10
100,1283,945,81,192,3035,3.5,123,9,10
100,1283,945,81,192,3035,3.5,123,9,10
100,1288,945,82,197,3035,3.5,123,7,10
99,1304,945,83,202,3035,3.5,124,7,10
99,1304,945,83,202,3035,3.5,124,7,10
100,1235,945,84,192,3040,3.5,121,6,10
100,1235,945,84,192,3040,3.5,121,6,10
99,1276,945,83,198,3035,3.5,122,6,10
100,1283,945,84,208,3040,3.5,123,6,10
100,1283,945,84,208,3040,3.5,123,6,10
100,1257,945,82,192,3040,3.5,127,7,10
100,1257,945,82,192,3040,3.5,127,7,10
98,1293,945,82,203,3035,3.5,124,7,10
98,1293,945,82,203,3035,3.5,124,7,10
99,1243,945,84,189,3040,3.5,117,5,10
99,1263,945,83,194,3040,3.5,121,6,10
99,1263,945,83,194,3040,3.5,121,6,10
100,1232,945,84,193,3040,3.5,128,5,10
100,1215,945,82,192,3040,3.5,126,8,10
100,1215,945,82,192,3040,3.5,126,8,10
99,1247,945,84,207,3040,3.5,125,8,10
99,1202,945,82,193,3035,3.5,126,7,10
100,1203,945,84,194,3036,3.5,127,7,10
100,1203,945,84,194,3036,3.5,127,7,10
100,1288,945,82,208,3041,3.5,125,7,10
99,1232,945,83,196,3041,3.5,127,7,10
99,1232,945,83,196,3041,3.5,127,7,10
98,1226,945,82,189,3041,3.5,137,8,10
97,1293,945,84,205,3036,3.5,167,6,10
97,1293,945,84,205,3036,3.5,167,6,10
98,1307,945,84,206,3041,3.5,157,5,10
98,1307,945,84,206,3041,3.5,157,5,10
98,1289,945,84,193,3036,3.5,157,5,10
97,1254,945,82,188,3041,3.5,156,6,10
97,1254,945,82,188,3041,3.5,156,6,10
100,1247,945,82,195,3041,3.5,148,6,10
100,1247,945,82,195,3041,3.5,148,6,10
100,1280,945,82,193,3041,3.5,142,8,10
100,1279,945,84,205,3036,3.5,143,9,10
100,1279,945,84,205,3036,3.5,143,9,10
99,1253,945,82,191,3041,3.5,139,8,10
99,1253,945,82,191,3041,3.5,139,8,10
100,1260,945,84,198,3041,3.5,134,8,10
100,1260,945,84,198,3041,3.5,134,8,10
100,1273,945,83,198,3036,3.5,123,7,10
100,1247,945,82,199,3041,3.5,135,10,10
100,1237,945,82,189,3041,3.5,132,9,10
100,1237,945,82,189,3041,3.5,132,9,10
100,1252,945,82,197,3041,3.5,122,8,10
100,1252,945,82,197,3041,3.5,122,8,10
100,1263,945,84,196,3041,3.5,122,8,10
100,1263,945,84,196,3041,3.5,122,8,10
100,1220,945,84,192,3036,3.5,120,8,10
99,1249,945,84,204,3036,3.5,124,9,10
99,1249,945,84,204,3036,3.5,124,9,10
100,1242,945,84,204,3041,3.5,121,8,10
100,1254,945,84,205,3036,3.5,121,8,10
100,1254,945,84,205,3036,3.5,121,8,10
100,1282,945,82,204,3041,3.5,128,9,10
100,1282,945,82,204,3041,3.5,128,9,10
100,1261,945,84,202,3041,3.5,127,9,10
100,1261,945,84,202,3041,3.5,127,9,10
100,1219,945,84,190,3036,3.5,135,8,10
97,1297,945,82,194,3036,3.5,169,7,10
97,1297,945,82,194,3036,3.5,169,7,10
98,1269,945,84,207,3041,3.5,171,6,10
98,1269,945,84,207,3041,3.5,171,6,10
98,1222,945,82,193,3036,3.5,173,6,10
98,1222,945,82,193,3036,3.5,173,6,10
97,1287,945,84,206,3036,3.5,176,5,10
100,1222,945,84,194,3036,3.5,156,8,10
100,1222,945,84,194,3036,3.5,156,8,10
100,1246,945,84,192,3036,3.5,152,9,10
100,1324,945,84,204,3036,3.5,158,9,10
100,1324,945,84,204,3036,3.5,158,9,10
99,1248,945,84,197,3041,3.5,149,8,10
99,1248,945,84,197,3041,3.5,149,8,10
99,1242,945,82,193,3041,3.5,144,8,10
99,1242,945,82,193,3041,3.5,144,8,10
100,1242,945,84,201,3036,3.5,141,8,10
100,1280,945,83,207,3037,3.5,143,8,10
100,1284,945,84,201,3037,3.5,143,9,10
100,1284,945,84,201,3037,3.5,143,9,10
100,1272,945,83,199,3041,3.5,139,7,10
100,1272,945,83,199,3041,3.5,139,7,10
100,1277,945,82,191,3042,3.5,137,8,10
100,1265,945,82,190,3036,3.5,126,8,10
100,1265,945,82,190,3036,3.5,126,8,10
100,1245,945,82,191,3037,3.5,124,8,10
100,1245,945,82,191,3037,3.5,124,8,10
100,1290,945,84,201,3037,3.5,125,8,10
100,1290,945,84,201,3037,3.5,125,8,10
100,1302,945,82,201,3042,3.5,121,8,10
100,1302,945,82,201,3042,3.5,121,8,10
100,1341,945,83,201,3042,3.5,128,7,10
100,1323,945,83,199,3041,3.5,127,7,10
100,1323,945,83,199,3041,3.5,127,8,10
100,1338,945,84,200,3037,3.5,128,10,10
100,1301,945,84,205,3036,3.5,137,8,10
100,1301,945,84,205,3036,3.5,137,8,10
100,1266,945,85,195,3042,3.5,141,9,10
100,1266,945,85,195,3042,3.5,141,9,10
100,1262,945,82,208,3042,3.5,143,8,10
100,1235,945,83,194,3042,3.5,154,8,10
100,1235,945,83,194,3042,3.5,154,8,10
100,1245,945,84,191,3037,3.5,144,8,10
100,1245,945,84,191,3037,3.5,144,8,10
100,1231,945,83,192,3042,3.5,138,8,10
100,1262,945,82,204,3037,3.5,142,9,10
100,1262,945,82,204,3037,3.5,142,9,10
100,1276,945,84,205,3037,3.5,140,9,10
100,1276,945,84,205,3037,3.5,140,9,10
100,1257,945,82,190,3042,3.5,134,10,10
100,1257,945,82,190,3042,3.5,134,10,10
100,1268,945,84,196,3042,3.5,135,9,10
100,1259,945,84,188,3041,3.5,128,10,10
100,1284,945,82,190,3042,3.5,131,9,10
100,1284,945,82,190,3042,3.5,131,9,10
100,1298,945,82,199,3042,3.5,127,8,10
100,1298,945,82,199,3042,3.5,127,8,10
99,1239,945,84,186,3037,3.5,128,9,10
99,1239,945,84,186,3037,3.5,128,9,10
100,1285,945,82,202,3037,3.5,127,7,10
99,1332,945,84,199,3037,3.5,136,10,10
99,1332,945,84,199,3037,3.5,136,10,10
100,1291,945,82,199,3042,3.5,128,9,10
99,1298,945,82,192,3042,3.5,127,8,10
99,1298,945,82,192,3042,3.5,127,8,10
99,1299,945,82,199,3042,3.5,128,8,10
99,1299,945,82,199,3042,3.5,128,8,10
99,1299,945,82,200,3042,3.5,125,8,10
99,1299,945,82,200,3042,3.5,125,8,10
100,1288,945,82,203,3037,3.5,132,8,10
99,1247,945,82,190,3042,3.5,130,10,10
99,1247,945,82,190,3042,3.5,130,10,10
99,1289,945,82,188,3037,3.5,128,8,10
99,1289,945,82,188,3037,3.5,128,8,10
100,1311,945,84,199,3042,3.5,125,9,10
100,1260,945,82,196,3037,3.5,128,10,10
100,1260,945,82,196,3037,3.5,128,10,10
100,1198,945,82,193,3037,3.5,132,7,10
100,1198,945,82,193,3037,3.5,132,7,10
100,1262,945,82,181,3037,3.5,119,8,10
100,1262,945,82,181,3037,3.5,119,8,10
100,1257,945,82,189,3042,3.5,128,8,10
100,1286,945,84,190,3037,3.5,122,8,10
100,1286,945,84,190,3037,3.5,122,8,10
100,1288,945,83,198,3037,3.5,127,8,10
100,1288,945,83,198,3037,3.5,127,8,10
100,1250,945,82,187,3037,3.5,128,7,10
100,1261,945,83,185,3042,3.5,128,8,10
100,1261,945,83,185,3042,3.5,128,8,10
100,1301,945,82,198,3042,3.5,121,8,10
100,1288,945,82,190,3037,3.5,120,8,10
100,1288,945,82,190,3037,3.5,120,8,10
100,1312,945,82,193,3042,3.5,123,8,10
98,1287,945,82,190,3037,3.5,125,8,10
98,1287,945,82,190,3037,3.5,125,8,10
100,1317,945,82,201,3037,3.5,130,6,10
100,1317,945,82,201,3037,3.5,130,6,10
100,1358,945,82,207,3037,3.5,124,8,10
100,1318,945,84,205,3037,3.5,129,8,10
100,1318,945,84,205,3037,3.5,129,8,10
100,1258,945,82,198,3037,3.5,128,8,10
100,1258,945,82,198,3037,3.5,128,8,10
100,1263,945,81,194,3042,3.5,127,7,10
100,1263,945,81,194,3042,3.5,127,7,10
100,1240,945,82,198,3042,3.5,110,7,10
100,1258,945,82,198,3042,3.5,115,7,10
100,1258,945,82,198,3042,3.5,115,7,10
100,1314,945,84,203,3037,3.5,115,7,10
100,1288,945,84,203,3037,3.5,106,7,10
100,1288,945,84,203,3037,3.5,106,7,10
100,1246,945,84,192,3042,3.5,114,8,10
100,1246,945,84,192,3042,3.5,114,8,10
99,1272,945,82,197,3037,3.5,124,9,10
99,1272,945,82,197,3037,3.5,124,9,10
100,1303,945,84,196,3037,3.5,110,7,10
99,1266,945,84,191,3042,3.5,123,8,10
99,1266,945,84,191,3042,3.5,123,8,10
100,1266,945,82,196,3037,3.5,119,9,10
100,1295,945,82,205,3037,3.5,110,9,10
100,1283,945,82,192,3042,3.5,102,8,10
100,1283,945,82,192,3042,3.5,102,8,10
100,1271,945,82,202,3042,3.5,100,8,10
99,1286,945,82,194,3037,3.5,106,8,10
99,1240,945,84,189,3037,3.5,116,9,10
99,1240,945,84,189,3037,3.5,116,9,10
99,1263,945,84,193,3037,3.5,129,9,10
99,1263,945,84,193,3037,3.5,129,9,10
100,1221,945,82,195,3037,3.5,125,8,10
100,1263,945,84,199,3037,3.5,113,11,10
100,1263,945,84,199,3037,3.5,113,11,10
100,1296,945,84,204,3042,3.5,107,7,10
100,1296,945,84,204,3042,3.5,107,7,10
100,1257,945,84,191,3037,3.5,119,8,10
99,1323,945,85,205,3043,3.5,121,9,10
99,1323,945,85,205,3043,3.5,121,9,10
100,1206,945,82,190,3037,3.5,120,7,10
100,1206,945,82,190,3037,3.5,120,7,10
100,1286,945,82,205,3042,3.5,120,8,10
100,1286,945,82,205,3042,3.5,120,8,10
100,1273,945,84,202,3037,3.5,106,7,10
100,1262,945,84,200,3042,3.5,107,7,10
100,1262,945,84,200,3042,3.5,107,7,10
99,1207,945,82,190,3037,3.5,118,8,10
99,1207,945,82,190,3037,3.5,118,8,10
100,1212,945,84,191,3038,3.5,115,7,10
100,1212,945,84,191,3038,3.5,115,7,10
100,1229,945,82,189,3038,3.5,127,8,10
100,1293,945,84,194,3038,3.5,110,9,10
100,1293,945,84,194,3038,3.5,110,9,10
100,1267,945,84,194,3037,3.5,104,8,10
100,1283,945,82,205,3037,3.5,104,7,10
